Training Texts,Training Labels
"This is the ultimate one-man show in which Eddie Murphy is at his very best. Just forget the Nutty Professor and the Distinguished Gentlemen, this is the real Eddie Murphy. His imitations of Mr. T. (pretending he is gay), Michael Jackson and other artists are killers. I think it's also quite daring to make fun of artists who where really popular in that time. My favorite act is the one where he is at his annual BBQ with the family and plays his drunken dad and aunt Bunny who falls from the stairs.<br /><br />This show is the best medicine when you feel down ! If you watch the sequel 'Raw' don't be disappointed. It's quite good too but doesn't match 'Delirious'.",1
"That film is absolutely fantastic!! If you watch it with your friends it can be a very nice day... Obviously you have to know that the film is stupid and very bad directed and acted (Tomba/Unziker what a couple), and that is probably the worse film in the world, but you can enjoy it very much. We watched it in 19 and it was a very nice evening. The best scenes are the first one, when the criminals kill the friend of Alex, and he tries to act like a desperate, and the result is a comic scene of first category... And then when he shows to Leva (Antevleva, what a name) the ""Palassio di giusstissia"", and then the accident of Leva, that once is going on her car out of the road, and a second later, the car is completely empty! What a magic!",1
"Eyeliner was worn nearly 6000 years ago in Egypt. Really not that much of a stretch for it to be around in the 12th century. I also didn't realize the series flopped. There is a second season airing now isn't there? It is amazing to me when commentaries are made by those who are either ill-informed or don't watch a show at all. It is a waste of space on the boards and of other's time. The first show of the series was maybe a bit painful as the cast began to fall into place, but that is to be expected from any show. The remainder of the first season is excellent. I can hardly wait for the second season to begin in the United States.",1
"Excellent story about teenagers, leaders, high school football ""stars"". How far will you go to protect your friends? Lie, kill? How much can You lose if you stud by an innocent girl? Can love beat the odds? Can you defeat narrow-minded small town people? When your friend scores and you ""lose"", will you do everything in your power to make her pay for it, or will you be a man about it, and respect her right to chose? Will you rape her and show it as your victory over a ""problem"" girl? Can you stand by the one who's only sin is to have an opinion of her own, to be able to make her own decisions, to chose for herself? It made me think twice before giving my judgment about who was right and who was wrong, but one is for sure - very disturbing movie and theme in general. Thumb up!",1
"This is a good movie, but it is not recommended if you don't like intelligent movies. It's about two guys that wish that the world would go away,and that's exactly what they get. The acting is great, the ending was not predictable,and it actually had a good story unlike most movies these days. People complain about the movie being too simple or too boring. I think they should just stick to movies like The Toxic Avenger (I actually like B movies) or The Grim Adventures of Billy and Mandy. One note: If you notice this, this has exactly the same actors from Cube except four actors. Make it two notes: Wait after the credits (Trust me on this one). Enjoy the movie.",1
"Prisons are not exactly renowned for their kind hospitality and 'happy vibes', what with stories of fights, chaos, murder and of course extreme male bonding! But the prison in this film is a different beast altogether. Horror films set in cells are, as you probably know, nothing particularly new as they emphasis and exaggerate the fear of claustrophobia and the inability of escape  two of the greatest themes in horror cinema. With such examples as THE CHAIR (Waldermar Korzeniowsky, 1988), THE GREEN MILE (Frank Darabont, 1999), ALIEN 3 (David Fincher, 1992)and of course the entire Women In Prison exploitation genre itself, another entry into this niche has to be something inventive and a lot of fun to boot in order to be recognised. Or at least that's what you'd have thought. PRISON is certainly an incredibly fun and enjoyable ride and it's somewhat of a shame that it isn't as well known as it should be.<br /><br />The film, in short, centres on an old prison (well, duh!) which has been reopened. However, it's not just fellow inmates and guards the prisoners have to fear, but also a mean ass demon ghost spirit with only one thing on its mind; death! And boy, are we treated to some awesome death scenes! I won't spoil anything here for you but there are plenty of innovative and enjoyable murders all done by invisible hands.<br /><br />Besides the special effects and the murders, this film also has another thing going for it; it's cast. Headlining, we have LORD OF THE RINGS (Peter Jackson, 2001-2003) star Viggo Mortensen (and for all those so inclined, yes, he does get naked) whose performance is not only highly believable, but is done with such skill that his Eastwood-esquire character is both bad-to-the-bone and likable (a very delicate mix). Add him to a cast of 'hey-wait-a-minute-I-know-that-guy' actors and you've got yourself one great set of stars. The characters themselves however lack three-dimensionality and more often than not come across as very stereotypical. We've got a black oculist, a hard-as-nails prison warden, a human-rights activist woman and plenty of other stock characters. But in all honesty, this 'fault' actually aids the film. Instead of boring character development in an over-long equilibrium, we are chucked, more or less, straight into the action and once it gets going (very early on) there's not a single scene that's a filler  it's balls to the wall plot. Unlike a certain SHAWSHANK REDEMPTION (Frank Darabont, 1994 )! Sharing conventions with the slasher genre, this is somewhat of a convention itself, and, in good ol' slasher genre tradition, PRISON punishes those who have been bad.<br /><br />All in all this is an excellent little horror film and one which is sadly overlooked and unmentioned among the horror world. With an excellent cast and great special effects and rather original death scenes this film is highly recommended to horror fans. Don't be fooled into thinking it'll be a cheesy little film either, just because it was made in USA 1980s, it's far from cheesy (although the very end does ruin this) and, simultaneously, far from gritty and realistic (whilst it attempts to tackle issues such as prison rape, these are rather subtly done).<br /><br />I give it 3.5 out of 5 luvs. A very entertaining horror film with some very nice touches indeed.",1
"Perhaps it's me and my perverted ways, or the fact that I tend to have a very sick mind, but I rented this film at random one very weird night and to my great surprise, I enjoyed it. <br /><br />Yes, I read the synopsis on the back of the DVD box and read that it had been banned for 25 years and figured I was prepared for anything it would offer. I was clearly deceived after seeing...well...everything, to cut a long story short. I can see why it was banned, not only for such explicit sex scenes, but for beastiality. <br /><br />Of course, as it is freely based on the classic fairy tale of Beauty and the Beast, a personal favorite of mine, it tells the story of a girl's sexual awakening over a dream about a duchess being chased by a whatever-the-hell-that-thing-was-like beast with an enormous erection and a substantial amount of ejaculation. Of course, the beast gets what he wants and the duchess decides she likes it and they continue frolicking in the woods. <br /><br />But that's not all. Oh, there is so much more! <br /><br />Not only do we get to see interspecial sex, but there's also humping horses, the babysitter who gets down and dirty with the slave when she's not humping the bed to get her...er...satisfaction and the daydreaming girl masturbating with rose petals. <br /><br />Creative and enjoyable, but it did take a while for my father to talk to me again after he watched it after I went to bed...I was 15. Words of advice when watching this film: make sure you're the only one who knows you have it and watch it with the curtains closed. It may be fun, but I doubt there are other porn films like this one.",1
"I saw this at the theater in the early 1970's. The most memorable and scary scene is when the German army attacks with yellow cross mustard gas for the first time. The Germans and their horses are covered from head to toe (or hoof) with eerie protective suits. The experienced British soldiers don gas masks (only) and once again await the clouds of gas and the German attackers. The gas clouds move ever closer, finally enveloping the British defenders. The Germans move forward slowly menacingly in their scary looking garb. Suddenly a scream from the defenders... This gas is like no other that they have experienced before.... <br /><br />Now you will know why I have remembered this scene for the last 30+ years and still shiver, I think that you will too!",1
"Let me start by saying that ""War, Inc"" is not everyone's cup of tea. It is, however, very enjoyable (and gets you thinking - ""Oh, crap""). The comedy involved the film isn't obvious at all - it's quite subtle (Tamerlane tanks, dry-cleaning service etc), and it changes with the twists & turns in the plot.<br /><br />I may be the only one, but I won't compare this with ""Grosse Point Blank"", because, it's different. John Cusack - I wouldn't say he was ""amazing"" or ""brilliant"" - but he was good. On the other hand, his sister (Joan Cusack) was incredible in her delivery of lines & comedic timing - even though she was hardly in the film (I'd say the same about Ben Kingsley).<br /><br />Marisa Tomei plays a convincing reporter, and manages to pull it off. Hilary Duff is very commendable for her role as central Asian pop star Yonica Babyyeah. Duff's development as an actress is very noticeable in the film, and she does a very good job (even though her accent is a tad unreal).<br /><br />Overall, the film is what I would call ""entertaining"". It doesn't have a particular storyline, and it's quite silly at times, but it does have a subtle message. I'd say it's worth a watch.",1
Every now and then a film maker brings to life a unique group of people and lets you inside to see the things that make us human. Lawrence Kasden done this again. I always felt theBg Cill was the anthem of it's age and he has managed to do it again in Grand Canyon. Every so often we find ourselves at a point where we have the opportunity to choose life and so often we blow it. This is a film about people who find the courage to choose and experience life because of that choice. The juxtaposing of little and big events that lets us see how basically trivial most things we worry about are is truly genius. I have watched this film a number of times and am constanly surprised at how deep the emotions run through this film. Danny Glover and Kevin Kline do their roles with great tenderness and Stever Martins portrayal of a movie exec is priceless. Thank you again Mr. Kasden,1
"Hitokiri (which translates roughly as ""assassination""), a/k/a ""Tenchu"" which translates roughly as ""divine punishment"") showcases Hideo Gosha at the top of his form. Do NOT miss this one, or Gosha's other classic, Goyokin! Hitokiri is not only one of Gosha's best films, it's one of the best ""samurai/chambara"" films ever made, and perhaps one of the best Japanese films ever exported.<br /><br />Be warned, all of the intricate plot details in Hitokiri can be a little hard to follow for those unfamiliar with 19th century Japanese history. Even so, the underlying human drama is obvious and open to all viewers. As per the norm for Gosha, Hitokiri provides yet another variation on his traditional theme of ""loyalty to one's lord"" vs. ""doing the right thing"". However, Gosha develops his favorite theme with such sophistication, that it's really _the_ movie to see (along with Goyokin, of course).<br /><br />I suppose it breaks down like this: If you want a simpler, more action-oriented tale, you might want to see Goyokin. However, if you want a more thoughtful, multilayered (albeit grim) drama, see this one.<br /><br />(OK, OK, essentially, the historical backdrop is a massive power grap between many different samurai clans who are either (1) working to reform, yet retain, the Tokugawa Shogunate, and (2) those who are trying to install the Emperor Meiji as the supreme ruler of Japan. Of course, those clans working ""for"" Emperor Meiji were often less interested in ""reforming"" Japan than in ensuring their own clan more power in the ""new world order"". Ironically, the entire feudal system was officially abolished as one of the first reforms of the Meiji government. It's ironic twists like this -- Gosha's big on irony -- that make the entire plot all the more bittersweet.)<br /><br />What distinguishes ""Hitokiri"" from Gosha's other movies is Gosha's mature sense of cinematography. Every shot is thoughtfully composed, and (much like Kubrick's Barry Lyndon) each frame of the movie could hold its own as a still composition. Of course, this is typical Gosha. Hitokiri really stands out with stunning backdrops, including(as with Goyokin) many riveting seascapes. Just watch the opening sequence, and you're hooked! Make no mistake, this is no English period piece: Hitokiri is extremely violent (don't say you weren't warned).<br /><br />What else, other than cool camera work, makes Hitokiri stand out? The performances seem (to me) a bit more subtle in this one. Katsu Shintaro (of Zatoichi/Hanzo the Razor fame) turns in a star performance as the conflicted protagonist/antihero, Okada Izo. Katsu manages to instill humanity to a character that seems almost more wild animal than villain. Throughout the movie, you're never quite sure if you're engaged or revolted by Okada's character. At the same time, Katsu's portrayal of Okada's ravenous hunger for respect, and his later pathetic attempts at redemption, seem so human that you can't help but feel empathy/sympathy. Of course, after seeing Nakadai Tatsuya play the tortured hero in ""Goyokin"", it's great to see him play such a ruthless villain in ""Hitokiri"". He's just perfect, there's nothing more to say!<br /><br />As a final note, perhaps more interesting to buffs than to casual fans, don't miss the last screen appearance of Mishima Yukio (yes, the closeted gay right-wing ultranationalist novelist who committed suicide by seppuku before the crowd of jeering Japanese military personnel he ""kidnapped"" in 1970, and had a movie on his life and work made by Paul Schrader), who actually does a pretty solid job of portraying the honorable (for an assassin) Shinbei Tanaka.",1
"Ever wonder where the ideas for romance novels and other paper back released come from? According to 'Jake Speed' they are based on real people, living out the adventures they write about and publish. This movie is quality family entertainment, moderate amounts of violence, and skimpy clothes at the worst. The language is is also not a problem, and the jokes are funny at all levels. This is a 'Austin Powers' look at 'Indian Jones', without the over-the-top antics of Michael Myers. I highly recommend this film for kids in the 10 to 15 range.",1
"'Five Days' is billed as something special, a crime drama that consists of a series of episodes, each set on one particular day of a police enquiry. But in fact, this element of the story turns out to be rather less significant than might at first be thought, as the fact that the action in each episode is confined to 24 hours is hardly noticeable, and very little distinguishes the program from countless other crime stories. In fact one almost can't help drawing comparisons to the last 'Prime Suspect', as one of the sub-plots focuses on a single, cynical female cop approaching retirement: and it's not just the absence of Helen Mirren that makes the comparisons unfavourable. There's a lot of earnest over-emoting, manipulative music and a set of characters seemingly contrived so that each one is in some sense sympathetic, in another suspicious. And it's possible to guess the guilty party well before the end, not because of the internal dynamic of the story, but rather because of the construction of the drama as a whole: certain things must be true, to justify the way that the series focuses on certain characters at certain times. In spite of these failings, the series grew on me: by the end, I was quite gripped. But it's a sad sign that the BBC, which once made the likes of 'The Singing Detective', boasted of this of ""possibly the best drama of the year"": for there's little true originality on offer here, and the claim reveals a lack of ambition that is dreadfully disappointing. 'Five Days' is in fact not rubbish; but it is formulaic, and one would hope that the very best the BBC had to offer would be something a little more innovative and fresh.",1
"The plot: A crime lord is uniting 3 different mafias in an entreprise to buy an island, that would then serve as money-laundering facility for organized crime. To thwart that, the FBI tries to bust one of the mafia lords. The thing goes wrong, and by some unlikely plot twists and turns, we are presented with another ""cop buddies who don't like each other"" movie... one being a female FBI agent, and the other a male ex-DEA agent.<br /><br />So far, so stupid. But the strength of this movie does not lie in its story - a poor joke, at best. It is funny. (At least the synchronized German version is). The action is good, too, with a memorable scene involving a shot gun and a rocket launcher. But the focus is squarely on the humour. Not intelligent satire, not quite slapstick, but somewhere in between, you get a lot of funny jokes. <br /><br />However, this film is the opposite of political correctness. Legal drug abuse is featured prominently, without criticism, and even displaying it as cool. That's the bit of the movie that seriously annoyed me, and renders it unsuitable for kids, in my opinion. <br /><br />All in all, for a nice evening watching come acceptable action with some funny jokes, this movie is perfect. Just remember: In this genre, it is common to leave your brain at the door when you enter the cinema / TV room. Then you'll have a good time. 8/10",1
"Whoever said that horror wasn't an educational film genre, huh? Thanks to this marvelous Hammer short movie, I now at least know NEVER to offer a strange visitor any wine and a slice of bread with salt in my own house, because he might just be hypnotist and this combination will give him the power to control my thoughts & mind forever! Thank you Hammer! The tenth episode in the House of Horror series is another one I've been looking forward to seeing, mainly because the guy in the director's chair was Don Sharp; one of Britain's finest filmmakers but still sadly underrated. Sharp was responsible for some very cool Hammer films, like ""Kiss of the Vampire"" and ""Rasputin: The Mad Monk"", as well as some overlooked independent productions like ""Dark Places"" and ""Psychomania"". His contribution to House of Horror is easily one of the best in the series, with a complex yet fascinating plot outline and revolving on delightful occult themes. The plot centers on two antique dealers that stumble upon a strange object resembling a mirror, but it's actually an ancient scrying device that can be used to summon Choronzhon; the demonic guardian of the abyss. The mirror is heavily desired by a satanic cult since they need it for their ceremonies, but Michael is reluctant to sell it before knowing the real value of the device. When he picks up a clearly petrified girl who's running from the cult to avoid being sacrificed, Michael is drawn even deeper into an occult conspiracy. Satanic cults and the carnal sacrifice of young women are typical British horror topics, but David Fischer's screenplay is never dull and offers plenty of neat plot twits, among which a highly inventive climax. There's also plenty of tension to admire, the dialogs are wit and the acting performances are splendid (especially John Carson as the leader of the cult is genuinely eerie). Recommended!",1
"I can't believe I am just now seeing this film -- I think perhaps I thought it was another movie about slaves being mistreated, and I avoided Roots for the same reason -- just as I have yet to see Schindler's List -- I don't want to be ""entertained"" by other peoples' pain, not matter how authentic or informative it is supposed to be.<br /><br />So I guess the main thing I noticed about The Color Purple was that it was not about black people being mistreated by whites. The black people were perfectly capable of raping their own daughters -- or giving them away to be treated as slaves by their ""husbands"". It was painful to watch, but everyone redeemed himself in the end, and the acting was phenomenal! I couldn't believe the character Oprah played at the age of 35! And I adore Whoopi to start with - she was amazing. I'm so glad I was feeling lousy yesterday afternoon and Showtime was running The Color Purple.",1
"The 12th animated Disney classic is a reasonable movie told through a simple story. Even though a little dated, it deserves a place in the list of Disney classics.<br /><br />It's not among Disney's top works, but is satisfying. One of Disney's most ""simple"" works, yes, but keeps a certain magic and enchantment (which old Disney is well known for). This was an important movie because it saved Disney from a delicate situation. If this was a failure, there wouldn't be any more Disney animated classics.<br /><br />""Cinderella"" is somehow like a return to Disney's 1st animated classic (""Snow White and the Seven Dwarfs"") because it brings back the fairy tale genre. It's not clear where the story takes place, but I suppose it's somewhere in France because this is based in a tale by Charles Perrault.<br /><br />There are plenty of likable characters, such as Cinderella, the Prince, Bruno (the dog), Jaques and Gus (the two main mice), the Fairy Godmother (for a fairy she sure is funny), the birds, the King and the Grand Duke.<br /><br />Jaques is very smart and amusing. I love his voice. Really has that mouse-like quality. Gus might not be that smart, but he's humorous.<br /><br />The King is hilarious, but I think that what makes him so funny is his short temper. The Grand Duke is a very cool chap and funny too. They're two of my favorite characters in this film and responsible for many of the most amusing moments.<br /><br />The Prince is certainly one of the most charming in Disney. No doubt that Prince Philip from ""Sleeping Beauty"" was inspired on this prince, because they are very similar-looking.<br /><br />On the other hand, Lady Tremaine (the stepmother) isn't supposed to be likable because she's cold, jealous, bitter and cruel. Her daughters (Anastacia and Drizella) aren't much better than her. However, the stepmother isn't as annoying as her ugly and selfish daughters. Cinderella, the main character, has nothing to do with them. Cinderella is gentle, kind, pretty and lovable. By the way, I think her beautiful pink dress is much nicer than the one given by the Fairy Godmother.<br /><br />Lucifer (the cat) is hilariously malicious. The way he walks, sticking up his nose in the air and those arrogant and snobbish facial expressions make him funny. Ironically he's very much like the stepmother when it comes to personality. He always agrees with the stepmother's attitudes towards Cinderella. Lucifer has the right name for him because he's such a devilish and mean cat. Yet, there's nothing annoying about him.<br /><br />The soundtrack is simple but pleasant, although not among Disney's best. The best song in this movie is ""Bibiddi Bobiddi Boo"".<br /><br />There are plenty of well known talented voice actors in this, such as James MacDonald, Marion Darlington, Eleanor Audley, Verna Felton and Luis Van Rooten.<br /><br />Despite being simple-looking, the movie has good artwork, as well as its nice details, although never something ""out-of-this-world"". However, the King's palace is a spectacular masterpiece, being truly majestic and colossal.",1
I was pretty surprised with this flick. Even though their budjet was obviously lacking still you have to be impressed that this movie took 7 years to make and still turned out good. The acting was pretty impressive and the story really captivated me. My only complaint would be that the ending really was a little too abrupt for my taste. But hey if your audience is left wanting more then this movie has succeeded.<br /><br />I would really recommend anyone in Hollywood to look up Antonella Ríos who is an excellent Spanish talent (something hard to find now days with all the bad novela over acting). Antonella Ríos truly is a star on the rise.,1
"I loved this film when I was little. Today at 17 it is one of my all time favorite animated films. Beautiful animation and appealing characters are just two of the things to like about this film. Although many people might not enjoy some of the songs, most of them are well-done and go along with the story. It focuses on Charlie, a roguish handsome German Shepard who may seem unlikable to some at first... but eventually will win you over.<br /><br />Not a kiddie film by any means. Often very dark and frightening at times. A treat for Don Bluth fans and animation buffs. But do keep a tissue in handy. ADGTH never fails to make me cry and will do the same for those who are movie sensitive. Arguably one of the greatest non-Disney animated films of all time. Along with Watership Down and My Neighbor Totoro.<br /><br />BOTTOM LINE: A heavenly masterpiece.",1
"I've read a lot of comments about the film and how it's so hard for people to believe that it is a sequel to Henry Fool, and even though it technically is, I think that Fay Grim needs to be looked at as an entirely different film. Just because it is the sequel doesn't mean that it has to be a direct continuation of the first, and I enjoyed that so much about it. The whole point of the film was to change direction from the first, which makes sense because the movie isn't called Henry Fool 2, it's Fay Grim. All that aside, the film, I thought, was so well made and thought out that it actually surprised me. I was expecting to rent another nearly-released-straight-to-video film and have to endure 2 hours of bad editing and an almost hard to follow story-line (aka parker's last direct to video feature the Oh in Ohio) but this was so surprisingly well focused that it almost doesn't seem so, which I absolutely loved. There are so many nuances in the film making and writing that I crave to see in films, but never do. The cinematography was brilliant due to it's simplicity and truly making the film seem 'Grim' throughout - in terms of setting. The writing was so well put together as well, whoever said this movie isn't as witty as Henry Fool needs to watch again and actually listen; I almost can't even begin to explain how actually hilarious it was, and pertinent. And well, Parker Posey, who could complain? The scene in which Fool and Jalal were talking in the dark was so captivating and emotional. And I thought the spy-ness throughout the film was just so hilarious and spot on (in hindsight because i do agree that at times during you kind of felt lost). The main thing that struck me so powerfully about the film, and i believe the point of the film, was Parker's love and naivety about Fool, which was so endearing and turned, yes very quickly, from denial to outright passion. The last five minutes of the film were perfect. Obviously there were things that weren't excellent, but nothing is perfect; some of the acting was poor, and at times I did think that some of the new back story and dialogue about terrorism got a little hard to follow and out of hand, but in the end you got it and didn't even mind that at the time it may have slipped from your comprehension. (This may also have to do with Goldblum's tendency to talk extremely fast) On the whole I would say that it was probably one of the best films I've seen this year; stylistically pleasing, clever and witty writing, performances that were so impressive I now have gained new respect for some of the actors, and a truly touching film, and don't forget, a complete departure from Fool. Which was the point.",1
"I have not read the novel, though I understand that this is somewhat different from it; the fact that I rather enjoyed this, coupled with the fact that this really is not my genre, leads me to the decision of not pursuing reading the book. Having not read a single word of Austen's writing, I really can't compare this to any of her work. What I can say is that almost every line of dialog in this is clever, witty, and well-delivered, as well as the biggest source of comedy in this. This made me laugh out loud a lot, with perfect British and verbal material. Every acting performance is spot-on, and Paltrow completely nails the role of a kind matchmaker. The characters are well-written, credible and consistent. I did find a couple of them extremely irritating, however, and while I think that at least some of that was meant to be funny, it tended to get repeated excessively, and it honestly wasn't amusing the first time they appeared. The editing and cinematography are marvelous, and everything looks utterly gorgeous. Plot and pacing are great, you're never bored. It does end in a *really* obvious manner, but maybe that's what the audience of these prefer. I can't claim that this did not entertain me, it did from start to finish, and I'd watch it again. There is brief language in this. I recommend this to any fan of romance stories. 7/10",1
"An excellent and accurate film... McGovern takes great pains to research and document his writing and it pays off. He is not afraid to tell the truth, even though it might draw unfavourable reviews and comments from some who like stories to be clean and sweet and glossy.<br /><br />Once again, McGovern brings in Christopher Eccleston, though not in as high a profile a role as he played in Hillsborough. I found this movie as accurate, well acted and well presented as Hillsborough and I applaud McGovern for his poignant unapologetic writing. Well done and my hat is off to the writer, the actors, the production crew. A great film!",1
"I absolutely love this game to death. Ever since I was 9 years old (I am now 15). It has great graphics, characters, magic, weapons, additions, and don't forget the ultimately awesome dragoon forms! I am still waiting for a remake, prequel, or a sequel to this spectacular video game. <br /><br />You play as Dart, a young swordsman who has the potential to be quite the hero. On this adventure you encounter wondrous creatures and boss fights. You also encounter some friends on the way who have their own special element. Such as Fire, Darkness, Water/Ice, Thunder/Lightning, Earth, Light, and Wind. There are also items known as dragoon spirits, which allow you to transform into magical creatures of legend. Dragons, wizards, creatures called winglies and evil creatures you'll have to face on this adventure of action-packed thrills and excitement. One of my all time favorite games, The Legend of Dragoon!",1
"""Ruby in Paradise"" is a beautiful, coming-of-age story about a young woman, Ruby Lee Gissing, escaping her stifling roots to become herself. Although the title character is played artfully by the gorgeous Ashley Judd -- in likely her first movie role, albeit one to be quite proud of -- the emphasis is not upon becoming ""somebody,"" a la the next Madonna (whether Jesus' mother or the lurid, attention-hungry singer).<br /><br />It instead emphasizes following ones' instincts and being somewhat introspective about them, to grow into one's ideal, adult self. NOTE: This isn't an action movie!!! It uses an occasional voice-over narration (by Ms. Judd) while writing in her journal -- and oh, I see I've just lost the male half of the readers out there. But be patient with this beautiful movie, where we learn that one's bliss can be discovered in -- oh, I dunno, carrying water and chopping wood.<br /><br />Actor/director/writer Todd Field, who played Nick Nightingale in ""Eyes Wide Shut,"" co-stars as Ruby Lee's noble love interest, one who helps her heal her idea of relationships implanted from youth.<br /><br />But not even his character is the answer for Ruby Lee: There's no external hero imposed upon her. The ultimate message is that we are responsible for ourselves. Writer/director Victor Nunez, who also wrote/directed ""Ulee's Gold,"" did an amazing job showing a young woman growing into herself -- confronting age-old challenges of good v. evil along the way.<br /><br />The supporting cast is also stellar, and the music used, particularly the cuts by chanteuse Sam Phillips (whom I hear is the wife of T. Bone Burnett), is right on -- most especially ""Trying to Hold on to the Earth."" Now, when I hear the first few chords of that song, tears spring to my eyes, Pavlovian and unbidden -- not sure if it's the music, or the indelible connection to the movie's quiet, charming message of empowerment.<br /><br />This movie is highly recommended for any young person trying to find his/her way. For any woman of any age, it is a must see! The downside: It is NOT on DVD, except in Spanish. (We learned, however, that it is legal to make one copy of a VHS version, which can be readily found online. My beloved husband found someone with a VHS copy and got a DVD copy made for me.) Although this treasure of a movie occasionally pops up on-air  on an indie channel, usually  you can't count on that when you might need it most as a tonic to soothe the pressures of the world. So buy a copy for yourself.<br /><br />This movie should have a major re-release, and it would, if I were Queen of Hollywood.<br /><br />-- Figgy Jones",1
"To be honest, I had to go see this movie backwards, didn't expect that much, but hey, I was not deceived, I had a good time.<br /><br />I would say this movie is way a fresh breeze, despite some facts that they tried to modernize Nancy Drew, but this made me remember these youth movies of the 60-70s from Europe and Quebec, where they manage to have children getting interacting with adults. In this case, a 16 year-old teenager tries to do justice by trying to solve a mystery concerning the death of an actress who died 25 years ago. Anyway, as her dad had business in Hollywood, why not rent a home with a mystery behind doors ? Well, at least Emma Roberts does a great job here. Kinda like the chubby kid, who at first is naively brought to support his sister's pranks to Nancy, but at the end, found Nancy quite cool enough to stick with her, even with her matters...<br /><br />Rest of the supporting cast is great, and was happy to see Rachael Leigh Cook in a different role this time: a single mother (she did it in Family Rescue, but this time, she plays a mature woman...) Anyway, don't dump this, it is fun !",1
"My personal opinion is that this movie had no real story line to the first john carpenter's vampires but i don't care I LOVED IT. Jon Bon Jovi (Derek) was great in this movie. He really mad me believe that he was the person you would never think he was a famous ROCKSTAR. There were some bad things about this movie. Like the story line,there should have been more to the movie.there should have been a sequel to the movie that followed the movies story line and they should have kept the same main characters in all three vampires movies. i really liked the clothes that the people wore and the setting they pick in Mexico. i liked how it was old Mexico and not new Mexico. with the clay houses and the old fashion churches. i was a little confused with the vampires and how they were able to walk in churches but it was cool how they didn't follow Dracula vampire rules.",1
It's really annoying when good movies like this one go unnoticed. But I'm glad I did not miss it.<br /><br />They should re-release it with a lot more publicity. I do not think they did anything to promote it. Great work Paxton.<br /><br />,1
"You should not take what I am about to say lightly. I've seen many, many films and have reviewed a great deal of them, in print. So when I tell you that this film has the single funniest scene I have ever seen in a movie, you might want to listen to me. There's a lot of diversity of opinion as to what makes this INCREDIBLY stupid movie as funny as it is. And to those who just didn't get, well, I can't blame them, too much. The scene I speak of, comes at about the 30 minute mark and involves a dead convict shackled to John Candy. Up until that point, I had found the film dumb, confusing and it was beginning to lose me. When this scene came up, I laughed so hard, I peed my pants. No movie has ever done that to me before. When the project began, ""Going Berserk"" was supposed to be the SCTV movie. I remember it being announced. As time went on, the cast was whittled down To John Candy, Joe Flaherty & Eugene Levy. There also must have been a regime change at Universal, while it was being shot, because upon being released, it was shown in nearly ZERO theaters. When watching this a second time, I listened to the theme song (which actually flaunts how incomprehensible the plot is, in the lyrics), relaxed my logic nerve and figured out what was going on. Aside from the aforementioned routine, ""Going Berserk"" has many other hilarious scenes to recommend it. This is almost a 3 Stooges flick, except it's much funnier. Director David Steinberg has razor sharp timing, and he must have been laughing all through this. As for Candy, who's basically in charge here, he has NEVER been funnier. With all the plot devices and explanatory scenes thrown out the window, he absolutely runs wild. Flaherty and Levy follow him effortlessly. There is a plot, but it's a plot like ""Animal House"" had a plot, and yeah, the script is uneven, and a little slow to start. Once you know this, however, you can well appreciate the full SCTV style craziness that transpires. It IS stupid, but it's stupid on purpose, and you need to remember that when you see it. DO see it, and discover for yourself, if it has the funniest scene of all time in it.",1
"It's been 19 years since Gordon Gekko used ""Wall Street"" to let us know that greed is good. Now, Michael Douglas takes the GG persona and morphs it into a Secret Service agent, Pete Garrison. Guess what? It works! This is a solid political thriller that kept me guessing. The detail work in showing the security precautions taken by the SS on behalf of the President and First Lady was likewise intriguing. All the leads were pretty good but, try as I might, I could not accept Eva Longoria as a Secret Service agent. Whereas Jodie Foster just made you suspend belief and really think she was FBI agent Starling in ""Silence of the Lambs"", you do not get the same feeling with Longoria. Nevertheless, this is a fun film, escapist entertainment with the Beltway as the backdrop.",1
"When I heard that Adrian Pasdar was in drag in this movie, my expectations that I would watch the entire movie were low. The only reasons I gave it a chance were the magnificent Julie Walters and the recommendation of a friend.<br /><br />What i thought would be a broad ""Mrs. Doubtfire"" type of farce turned out to be a gentle and insightful comedy. Pasdar is entirely credible and empathetic as the ambitious business man who needs to release the female part of his being by cross-dressing on occasions. He transmits these needs to the audience in a thoroughly believable fashion. Julie Walters is magnificent, is as her habit, as the landlady who teaches him unconditional love.",1
I really liked this movie! Even though it wasn't anything like any of the books it still the that classic Nancy Drew style. I had been seeing a lot of advertisements for this movie and since I was really into the Nancy Drew books I had really high expectations for this movie and they most definitely met those expectations. Pretty much all of the characters were exactly how I pictured them from reading the books. I am really happy that I saw this movie. All of the actors and actresses really acted like they acted like in the book series. Ever since I saw this movie I have wanted to read every single Nancy Drew book there is out there. All of the actors and actresses really got into their characters and it definitely showed when the aired this movie on the big screen. It definitely seemed like all of the actors and actresses were really in the positions that the characters were in I most definitely give this movie a 10 out of 10.,1
"dear god where do i begin. this is bar none the best movie i've ever seen. the camera angles are great but in my opinion the acting was the best. why the script writers for this movie aren't writing big budget films i will never understand. another is the cast. it is great. this is the best ted raimi film out there for sure. i know some of you out there are probably thinking ""no way he has plenty better"" but no your wrong. raptor island is a work of art. i hope it should have goten best movie of the year instead of that crappy movie Crash with a bunch of no names AND no raptors. i believe this movie is truly the most wonderful thing EVER.",1
